CEZ,CORTEZ,CORTEZ,CO
CFB,BINGHAMTON,BINGHAMTON,NY
CGT,CHICAGO HEIGHTS,CHICAGO HEIGHTS,IL
CHE,HAYDEN,HAYDEN,CO
CHS,CHARLESTON,CHARLESTON,SC
CID,CEDAR RAPIDS,CEDAR RAPIDS,IA
CIM,CIMARRON,CIMARRON,NM
CKV,CLARKSVILLE,CLARKSVILLE,TN
CKW,CHEROKEE,CHEROKEE,WY
CMA,CAMARILLO,CAMARILLO,CA
CME,CHISUM,CHISUM,NM
CMI,CHAMPAIGN,CHAMPAIGN/URBANA,IL
CMX,HOUGHTON,HANCOCK,MI
CNG,CUNNINGHAM,PADUCAH,KY
CNM,CARLSBAD,CARLSBAD,NM
CNX,CORONA,CORONA,NM
COD,CODY,CODY,WY
CON,CONCORD,CONCORD,NH
COT,COTULLA,COTULLA,TX
COU,COLUMBIA,COLUMBIA,MO
CPN,COPPERTOWN,BUTTE,MT
CRE,GRAND STRAND,NORTH MYRTLE BEACH,SC
CRG,CRAIG,JACKSONVILLE,FL
CRL,CARLETON,CARLETON,MI
CRP,CORPUS CHRISTI,CORPUS CHRISTI,TX
CSI,CENTER POINT,KERRVILLE,TX
CTB,CUT BANK,CUT BANK,MT
CTF,CHESTERFIELD,CHESTERFIELD,SC
CTR,CHESTER,CHESTER,MA
CUS,COLUMBUS,COLUMBUS,NM
CVA,DAVENPORT,DAVENPORT,IA
CVE,COWBOY,DALLAS,TX
CVO,CORVALLIS,CORVALLIS,OR
CVV,PENN COVE,COUPVILLE,WA
CWK,CENTEX,AUSTIN,TX
CYN,COYLE,COYLE,NJ
CYS,CHEYENNE,CHEYENNE,WY
CZI,CRAZY WOMAN,CRAZY WOMAN,WY
DAG,DAGGETT,DAGGETT,CA
DBL,RED TABLE,EAGLE,CO
DBN,DUBLIN,DUBLIN,GA
DBQ,DUBUQUE,DUBUQUE,IA
DBS,DUBOIS,DUBOIS,ID
DDC,DODGE CITY,DODGE CITY,KS
DDY,MUDDY MOUNTAIN,MUDDY MOUNTAIN,WY
DGD,DOGWOOD,DOGWOOD,MO
DHP,DOLPHIN,MIAMI,FL
DHT,DALHART,DALHART,TX
DIK,DICKINSON,DICKINSON,ND
DJB,DRYER,CLEVELAND,OH
DLH,DULUTH,DULUTH,MN
DLL,DELLS,BARABOO,WI
DLN,DILLON,DILLON,MT
DMN,DEMING,DEMING,NM
DNJ,DONNELLY,McCALL,ID
DNW,DUNOIR,DUNOIR,WY
DPA,DUPAGE,CHICAGO/WEST CHICAGO,IL
DPK,DEER PARK,DEER PARK,NY
DPR,DUPREE,DUPREE,SD
DQN,DAYTON,DAYTON,OH
DQO,DUPONT,WILMINGTON,DE
DRK,DRAKE,PRESCOTT,AZ
DRO,DURANGO,DURANGO,CO
DSD,DESCHUTES,DESCHUTES,OR
DSM,DES MOINES,DES MOINES,IA
DTA,DELTA,DELTA,UT
DUG,DOUGLAS,DOUGLAS BISBEE,AZ
DVC,DOVE CREEK,DOVE CREEK,CO
DVV,MILE HIGH,DENVER,CO
EAT,WENATCHEE,WENATCHEE,WA
EAU,EAU CLAIRE,EAU CLAIRE,WI
ECG,ELIZABETH CITY,ELIZABETH CITY,NC
ECS,NEWCASTLE,NEWCASTLE,WY
EED,NEEDLES,NEEDLES,CA
EHF,SHAFTER,BAKERSFIELD,CA
EHK,ENOCH,CEDAR CITY,UT
EKN,ELKINS,ELKINS,WV
EKR,MEEKER,MEEKER,CO
ELB,EL TORO,SANTA ANA,CA
ELD,EL DORADO,EL DORADO,AR
ELN,ELLENSBURG,ELLENSBURG,WA
ELP,EL PASO,EL PASO,TX
ELY,ELY,ELY,NV
EMG,ELM GROVE,SREVEPORT,LA
EMI,WESTMINSTER,WESTMINSTER,MD
EMP,EMPORIA,EMPORIA,KS
ENE,KENNEBUNK,KENNEBUNK,ME
ENI,MENDOCINO,UKIAH,CA
ENL,CENTRALIA,CENTRALIA,IL
ENO,SMYRNA,SMYRNA,DE
EPH,EPHRATA,EPHRATA,WA
ESC,ESCANABA,ESCANABA,MI
ETL,CONE,TELLIRIDE,CO
ETX,EAST TEXAS,EAST TEXAS,PA
EUG,EUGENE,EUGENE,OR
EVW,EVANSTON,EVANSTON,WY
EWC,ELLWOOD CITY,ELLWOOD CITY,PA
EWM,NEWMAN,NEWMAN,TX
EWN,NEW BERN,NEW BERN,NC
EYW,KEY WEST,KEY WEST,FL
FAK,FLAT ROCK,FLAT ROCK,VA
FAM,FARMINGTON,FARMINGTON,MO
FAR,FARGO,FARGO,ND
FAY,FAYETTEVILLE,FAYETTEVILLE,NC
FBR,FORT BRIDGER,FORT BRIDGER,WY
FCA,KALISPELL,KALISPELL,MT
FDK,FREDERICK,FREDERICK,MD
FFT,FRANKFORT,FRANKFORT,KY
FFU,FAIRFIELD,FAIRFIELD,UT
FGT,FARMINGTON,FARMINGTON,MN
FIM,FILLMORE,FILLMORE,CA
FJS,FORT JONES,FORT JONES,CA
FKL,FRANKLIN,FRANKLIN,PA
FLG,FLAGSTAFF,FLAGSTAFF,AZ
FLL,FORT LAUDERDALE,FORT LAUDERDALE,FL
FLW,FELLOWS,FELLOWS,CA
FMG,MUSTANG,RENO,NV
FNT,FLINT,FLINT,MI
FOT,FORTUNA,FORTUNA,CA
FQF,FALCON,DENVER,CO
FRA,FRIANT,FRIANT,CA
FSD,SIOUX FALLS,SIOUX FALLS,SD
FSM,FORT SMITH,FORT SMITH,AR
FST,FORT STOCKTON,FORT STOCKTON,TX
FTI,FORT UNION,LAS VEGAS,NM
FTZ,FORISTELL,FORISTELL,MO
FUZ,RANGER,DALLAS FORT WORTH,TX
FWA,FORT WAYNE,FORT WAYNE,IN
FZT,FRANKSTON,FRANKSTON,TX
GAD,GADSDEN,GADSDEN,AL
GBN,GILA BEND,GILA BEND,AZ
GCC,GILLETTE,GILLETTE,WY
GCK,GARDEN CITY,GARDEN CITY,KS
GCN,GRAND CANYON,GRAND CANYON,AZ
GDM,GARDNER,GARDNER,MA
GEE,GENESEO,GENESEO,NY
GEF,GREENVILLE,GREENVILLE,FL
GEG,SPOKANE,SPOKANE,WA
GEP,GOPHER,MINNEAPOLIS,MN
GFK,GRAND FORKS,GRAND FORKS,ND
GFS,GOFFS,GOFFS,CA
GGG,GREGG COUNTY,GREGG COUNTY,TX
GGW,GLASGOW,GLASGOW,MT
GLH,GREENVILLE,GREENVILLE,MS
GLJ,GUADALUPE,SANTA MARIA,CA
GLL,GILL,GILL,CO
GMN,GORMAN,GORMAN,CA
GON,GROTON,GROTON (NEW LONDON),CT
GPT,GULFPORT,GULFPORT,MS
GRB,GREEN BAY,GREEN BAY,WI
GRI,GRAND ISLAND,GRAND ISLAND,NE
GSO,GREENSBORO,GREENSBORO,NC
GTF,GREAT FALLS,GREAT FALLS,MT
GUP,GALLUP,GALLUP,NM
GVE,GORDONSVILLE,GORDONSVILLE,VA
GVO,GAVIOTA,GAVIOTA,CA
GZG,GLADE SPRING,GLADE SPRING,VA
HAR,HARRISBURG,HARRISBURG,PA
HBR,HOBART,HOBART,OK
HBU,BLUE MESA,GUNNISON,CO
HCH,HINCH MOUNTAIN,HINCH MOUNTAIN,TN
HCM,HARCUM,HARCUM,VA
HCT,HAYES CENTER,HAYES CENTER,NE
HDF,HOMELAND,HOMELAND,CA
HEC,HECTOR,HECTOR,CA
HFD,HARTFORD,HARTFORD,CT
HGO,HUGO,HUGO,CO
HGR,HAGERSTOWN,HAGERSTOWN,MD
HIA,WHITEHALL,WHITEHALL,MT
HIB,HIBBING,HIBBING,MN
HLC,HILL CITY,HILL CITY,KS
HLG,WHEELING,WHEELING,WV
HLN,HELENA,HELENA,MT
HLV,HALLSVILLE,HALLSVILLE,MO
HNW,HANGTOWN,PLACERVILLE,CA
HOB,HOBBS,HOBBS,NM
HOT,HOT SPRINGS,HOT SPRINGS,AR
HPW,HOPEWELL,HOPEWELL,VA
HQM,HOQUIAM,HOQUIAM,WA
HRL,HARLINGEN,HARLINGEN,TX
HRO,HARRISON,HARRISON,AR
HRV,HARVEY,NEW ORLEANS,LA
HUP,HUDSPETH,HUDSPETH,TX
HUT,HUTCHINSON,HUTCHINSON,KS
HVE,HANKSVILLE,HANKSVILLE,UT
HVQ,CHARLESTON,CHARLESTON,WV
HVR,HAVRE,HAVRE,MT
HYK,LEXINGTON,LEXINGTON,KY
HZN,HAZEN,HAZEN,NV
IAH,HUMBLE,HOUSTON,TX
IDA,IDAHO FALLS,IDAHO FALLS,ID
IGB,BIGBEE,COLUMBUS,MS
IGM,KINGMAN,KINGMAN,AZ
IGN,KINGSTON,KINGSTON,NY
IIP,HIPSHER,HIPSHER,WY
IIU,LOUISVILLE,LOUISVILLE,KY
ILA,WILLIAMS,WILLIAMS,CA
ILC,WILSON CREEK,WILSON CREEK,NV
ILM,WILMINGTON,WILMINGTON,NC
ILR,WILDHORSE,WILDHORSE,OR
IMB,KIMBERLY,KIMBERLY,OR
INK,WINK,WINK,TX
INL,INTERNATIONAL FALLS,INTERNATIONAL FALLS,MN
INW,WINSLOW,WINSLOW,AZ
IOW,IOWA CITY,IOWA CITY,IA
IPL,IMPERIAL,IMPERIAL,CA
IRQ,COLLIERS,COLLIERS,SC
IRW,WILL ROGERS,OKLAHOMA,OK
ISN,WILLISTON,WILLISTON,ND
ISO,KINSTON,KINSTON,NC
IWA,WILLIE,PHOENIX,AZ
IWD,IRONWOOD,IRONWOOD,MI
JAC,JACKSON,JACKSON,WY
JBR,JONESBORO,JONESBORO,AR
JCT,JUNCTION,JUNCTION,TX
JFK,KENNEDY,NEW YORK,NY
JHW,JAMESTOWN,JAMESTOWN,NY
JLI,JULIAN,JULIAN,CA
JMS,JAMESTOWN,JAMESTOWN,ND
JNC,GRAND JUNCTION,GRAND JUNCTION,CO
JOT,JOLIET,JOLIET,IL
JPU,PARKERSBURG,PARKERSBURG,WV
JST,JOHNSTOWN,JOHNSTOWN,PA
LAA,LAMAR,LAMAR,CO
LAL,LAKELAND,LAKELAND,FL
LAR,LARAMIE,LARAMIE,WY
LAS,LAS VEGAS,LAS VEGAS,NV
LAW,LAWTON,LAWTON,OK
LAX,LOS ANGELES,LOS ANGELES,CA
LBB,LUBBOCK,LUBBOCK,TX
LBF,NORTH PLATTE,NORTH PLATTE,NE
LBY,EATON,HATTIESBURG,MS
LCH,LAKE CHARLES,LAKE CHARLES,LA
LCU,LUCIN,LUCIN,UT
LEV,LEEVILLE,GRAND ISLE,LA
LFK,LUFKIN,LUFKIN,TX
LFV,MARCONI,MARCONI,MA
LGC,LAGRANGE,LAGRANGE,GA
LHO,BRIGHAM CITY,BRIGHAM CITY,UT
LHS,LAKE HUGHES,LAKE HUGHES,CA
LIB,LIBERTY,LIBERTY,NC
LIN,LINDEN,LINDEN,CA
LIT,LITTLE ROCK,LITTLE ROCK,AR
LKT,SALMON,SALMON,ID
LKV,LAKEVIEW,LAKEVIEW,OR
LLA,WHITE LAKE,WHITE LAKE,LA
LLC,LOVELOCK,LOVELOCK,NV
LMN,LAMONI,LAMONI,IA
LMT,KLAMATH FALLS,KLAMATH FALLS,OR
LNK,LINCOLN,LINCOLN,NE
LOZ,LONDON,LONDON,KY
LRD,LAREDO,LAREDO,TX
LRP,LANCASTER,LANCASTER,PA
LSU,BATON ROUGE,BATON ROUGE,LA
LTJ,KLICKITAT,KLICKITAT,WA
LVM,LIVINGSTON,LIVINGSTON,MT
LVT,LIVINGSTON,LIVINGSTON,TN
LWL,WELLS,WELLS,NV
LWT,LEWISTOWN,LEWISTOWN,MT
MAD,MADISON,MADISON,CT
MAF,MIDLAND,MIDLAND,TX
MAI,MARIANNA,MARIANNA,FL
MBS,SAGINAW,SAGINAW,MI
MBW,MEDICINE BOW,MEDICINE BOW,WY
MCB,MC COMB,MC COMB,MS
MCI,KANSAS CITY,KANSAS CITY,MO
MCK,MC COOK,MC COOK,NE
MCW,MASON CITY,MASON CITY,IA
MEI,MERIDIAN,MERIDIAN,MS
MGM,MONTGOMERY,MONTGOMERY,AL
MGW,MORGANTOWN,MORGANTOWN,WV
MHE,MITCHELL,MITCHELL,SD
MHF,TRINITY,SMITH POINT,TX
MHK,MANHATTAN,MANHATTAN,KS
MHZ,MAGNOLIA,MADISON,MS
MKL,MC KELLAR,MC KELLAR,TN
MLB,MELBOURNE,MELBOURNE,FL
MLD,MALAD CITY,MALAD CITY,ID
MLF,MILFORD,MILFORD,UT
MLP,MULLAN PASS,MULLAN PASS,ID
MLS,MILES CITY,MILES CITY,MT
MLT,MILLINOCKET,MILLINOCKET,ME
MLU,MONROE,MONROE,LA
MMB,MITBEE,MITBEE,OK
MMM,MORMON MESA,MORMON MESA,NV
MOD,MODESTO,MODESTO,CA
MOL,MONTEBELLO,MONTEBELLO,VA
MOT,MINOT,MINOT,ND
MPV,MONTPELIER,MONTPELIER,VT
MQG,NEZ PERCE,LEWISTON,ID
MQO,MORRO BAY,SAN LUIS OBISPO,CA
MQP,MILLSAP,MILLSAP,TX
MRB,MARTINSBURG,MARTINSBURG,WV
MRF,MARFA,MARFA,TX
MSN,MADISON,MADISON,WI
MSO,MISSOULA,MISSOULA,MT
MTJ,MONTROSE,MONTROSE,CO
MTU,MYTON,MYTON,UT
MVA,MINA,MINA,NV
MVC,MONROEVILLE,MONROEVILLE,AL
MVY,MARTHAS VINEYARD,VINEYARD HAVEN,MA
MWH,MOSES LAKE,MOSES LAKE,WA
MYV,MARYSVILLE,MARYSVILLE,CA
MZB,MISSION BAY,SAN DIEGO,CA
NUN,SAUFLEY,PENSACOLA,FL
OAK,OAKLAND,OAKLAND,CA
OAL,COALDALE,COALDALE,NV
OBK,NORTHBROOK,NORTHBROOK,IL
OCF,OCALA,OCALA,FL
OCN,OCEANSIDE,OCEANSIDE,CA
OCS,ROCK SPRINGS,ROCK SPRINGS,WY
ODG,WOODRING,ENID,OK
OED,ROGUE VALLEY,ROGUE VALLEY,OR
OFK,NORFOLK,NORFOLK,NE
OGD,OGDEN,OGDEN,UT
OKM,OKMULGEE,OKMULGEE,OK
OKW,BROOKWOOD,BROOKWOOD,AL
OLM,OLYMPIA,OLYMPIA,WA
OLS,NOGALES,NOGALES,AZ
OLU,COLUMBUS,COLUMBUS,NE
OMN,ORMOND BEACH,ORMOND BEACH,FL
ONM,SOCORRO,SOCORRO,NM
ONP,NEWPORT,NEWPORT,OR
ORF,NORFOLK,NORFOLK,VA
ORL,ORLANDO,ORLANDO,FL
OSH,OSHKOSH,OSHKOSH,WI
OSI,WOODSIDE,WOODSIDE,CA
OTB,TUPELO,TUPELO,MS
OTH,NORTH BEND,NORTH BEND,OR
OTK,VALDOSTA,VALDOSTA,GA
OTO,OTTO,OTTO,NM
OVR,OMAHA,OMAHA,IA
OWB,OWENSBORO,OWENSBORO,KY
PBF,PINE BLUFF,PINE BLUFF,AR
PBI,PALM BEACH,WEST PALM BEACH,FL
PCU,PICAYUNE,PICAYUNE,MS
PDT,PENDLETON,PENDLETON,OR
PDZ,PARADISE,ONTARIO,CA
PEQ,PECOS,PECOS,TX
PER,PIONEER,PONCA,OK
PGA,PAGE,PAGE,AZ
PGO,RICH MOUNTAIN,PAGE,OK
PGS,PEACH SPRINGS,PEACH SPRINGS,AZ
PGY,POGGI,SAN DIEGO,CA
PHP,PHILIP,PHILIP,SD
PIA,PEORIA,PEORIA,IL
PIE,ST PETERSBURG,ST PETERSBURG-CLEARWARTER,FL
PIH,POCATELLO,POCATELLO,ID
PIO,PINON,PINON,NM
PIR,PIERRE,PIERRE,SD
PKE,PARKER,PARKER,CA
PMD,PALMDALE,PALMDALE,CA
PNH,PANHANDLE,AMARILLO,TX
POM,POMONA,POMONA,CA
PQI,PRESQUE ISLE,PRESQUE ISLE,ME
PRB,PASO ROBLES,PASO ROBLES,CA
PSB,PHILIPSBURG,PHILIPSBURG,PA
PSC,PASCO,PASCO,WA
PSP,PALM SPRINGS,PALM SPRINGS,CA
PSX,PALACIOS,PALACIOS,TX
PUB,PUEBLO,PUEBLO,CO
PUC,CARBON,CARBON,UT
PUW,PULLMAN,PULLMAN,WA
PVD,PROVIDENCE,PROVIDENCE,RI
PVW,PLAINVIEW,PLAINVIEW,TX
PWA,WILEY POST,OKLAHOMA,OK
PXN,PANOCHE,PANOCHE,CA
PXR,PHOENIX,PHOENIX,AZ
PXV,POCKET CITY,EVANSVILLE,IN
PYE,POINT REYES,POINT REYES,CA
PZD,PECAN,ALBANY,GA
RAL,RIVERSIDE,RIVERSIDE,CA
RAP,RAPID CITY,RAPID CITY,SD
RAV,RAVINE,RAVINE,PA
RBG,ROSEBURG,ROSEBURG,OR
RBL,RED BLUFF,RED BLUFF,CA
RBV,ROBBINSVILLE,ROBBINSVILLE,NJ
RDD,REDDING,REDDING,CA
RDU,RALEIGH/DURHAM,RALEIGH/DURHAM,NC
REO,ROME,ROME,OR
RHI,RHINELANDER,RHINELANDER,WI
RIC,RICHMOND,RICHMOND,VA
RIL,RIFLE,RIFLE,CO
RIW,RIVERTON,RIVERTON,WY
RLG,KREMMLING,KREMMLING,CO
RLY,WORLAND,WORLAND,WY
RMG,ROME,ROME,GA
ROC,ROCHESTER,ROCHESTER,NY
RQZ,ROCKET,HUNTSVILLE,AL
RRS,WIREGRASS,DOTHAN,AL
RSG,ROCKSPRINGS,ROCKSPRINGS,TX
RSK,RATTLESNAKE,RATTLESNAKE,NM
RSW,LEE COUNTY,FORT MYERS,FL
RWF,REDWOOD FALLS,REDWOOD FALLS,MN
RZC,RAZORBACK,FAYETTEVILLE,AR
RZS,SAN MARCUS,SANTA BARBARA,CA
SAC,SACRAMENTO,SACRAMENTO,CA
SAF,SANTA FE,SANTA FE,NM
SAT,SAN ANTONIO,SAN ANTONIO,TX
SAU,SAUSALITO,SAUSALITO,CA
SAV,SAVANNAH,SAVANNAH,GA
SAW,SAWYER,MARQUETTE,MI
SAX,SPARTA,SPARTA,NJ
SBI,SABINE PASS,SABINE PASS,TX
SBJ,SOLBERG,SOLBERG,NJ
SBV,SOUTH BOSTON,SOUTH BOSTON,VA
SDO,SOD HOUSE,SOD HOUSE,NV
SDZ,SANDHILLS,SANDHILLS,NC
SEA,SEATTLE,SEATTLE,WA
SEG,SELINSGROVE,SELINSGROVE,PA
SEY,SANDY POINT,BLOCK ISLAND,RI
SFL,SALT FLAT,SALT FLAT,TX
SFO,SAN FRANCISCO,SAN FRANCISCO,CA
SGD,SCAGGS ISLAND,NAPA,CA
SGF,SPRINGFIELD,SPRINGFIELD,MO
SHB,SHELBYVILLE,SHELBYVILLE,IN
SHR,SHERIDAN,SHERIDAN,WY
SHY,SUNSHINE,SUNSHINE,MO
SIE,SEA ISLE,SEA ISLE,NJ
SJC,SAN JOSE,SAN JOSE,CA
SJI,SEMMES,SEMMES,AL
SJN,ST JOHNS,ST JOHNS,AZ
SJT,SAN ANGELO,SAN ANGELO,TX
SLI,SEAL BEACH,SEAL BEACH,CA
SLN,SALINA,SALINA,KS
SMO,SANTA MONICA,SANTA MONICA,CA
SNS,SALINAS,SALINAS,CA
SNY,SIDNEY,SIDNEY,NE
SOT,SNOWBIRD,SNOWBIRD,TN
SPA,SPARTANBURG,SPARTANBURG,SC
SPI,SPINNER,SPRINGFIELD,IL
SPS,WICHITA FALLS,WICHITA FALLS,TX
SPW,SPENCER,SPENCER,IA
SQS,SIDON,SIDON,MS
SRQ,SARASOTA,SARASOTA/BRADENTON,FL
SSF,STINSON,STINSON,TX
SSI,BRUNSWICK,BRUNSWICK,GA
SSM,SAULT STE MARIE,SAULT STE MARIE,MI
SSO,SAN SIMON,SAN SIMON,AZ
STJ,ST JOSEPH,ST JOSEPH,MO
STV,STONEWALL,STONEWALL,TX
SVC,SILVER CITY,SILVER CITY,NM
SWO,STILLWATER,STILLWATER,OK
SWR,SQUAW VALLEY,SOUTH LAKE TAHOE,CA
SXC,SANTA CATALINA,SANTA CATALINA,CA
SYI,SHELBYVILLE,SHELBYVILLE,TN
SYR,SYRACUSE,SYRACUSE,NY
SZW,SEMINOLE,TALLAHASSEE,FL
TAS,TAOS,TAOS,NM
TBC,TUBA CITY,TUBA CITY,AZ
TBD,TIBBY,THIBODAUX,LA
TBE,TOBE,TOBE,CO
TCC,TUCUMCARI,TUCUMCARI,NM
TCH,WASATCH,WASATCH,UT
TCS,TRUTH OR CONSEQUENCES,TRUTH OR CONSEQUENCES,NM
TFD,STANFIELD,CASA GRANDE,AZ
TNP,TWENTYNINE PALMS,TWENTYNINE PALMS,CA
TNV,NAVASOTA,NAVASOTA,TX
TOP,TOPEKA,TOPEKA,KS
TOU,TATOOSH,NEAH BAY,WA
TOY,TROY,TROY,IL
TPH,TONOPAH,TONOPAH,NV
TQA,TUSCOLA,ABILENE,TX
TRM,THERMAL,PALM SPRINGS,CA
TST,TOADSTOOL,CHADRON,NE
TTE,TULE,PORTERVILLE,CA
TTT,MAVERICK,DALLAS FORT WORTH,TX
TUL,TULSA,TULSA,OK
TUS,TUCSON,TUCSON,AZ
TVC,TRAVERSE CITY,TRAVERSE CITY,MI
TVF,THIEF RIVER FALLS,THIEF RIVER FALLS,MN
TWF,TWIN FALLS,TWIN FALLS,ID
TXC,THURMAN,THURMAN,CO
TXK,TEXARKANA,TEXARKANA,TX
TXO,TEXICO,TEXICO,TX
TYI,TAR RIVER,ROCKY MOUNT,NC
TYR,TYLER,TYLER,TX
UBG,NEWBERG,NEWBERG,OR
UJM,MARVELL,HELENA/WEST HELENA,AR
VCN,CEDAR LAKE,MILLVILLE,NJ
VCT,VICTORIA,VICTORIA,TX
VEL,VERNAL,VERNAL,UT
VHP,BRICKYARD,INDIANAPOLIS,IN
VIH,VICHY,Rolla/VICHY,MO
VIO,VICTORY,GRAND RAPIDS,MI
VIS,VISALIA,VISALIA,CA
VKZ,VIRGINIA KEY,VIRGINIA KEY,FL
VNA,VIENNA,VIENNA,GA
VNY,VAN NUYS,VAN NUYS,CA
VQQ,CECIL,JACKSONVILLE,FL
VTU,VENTURA,OXNARD,CA
VUH,SCHOLES,GALVESTON,TX
VUZ,VULCAN,BIRMINGHAM,AL
VXV,VOLUNTEER,KNOXVILLE,TN
XUB,YELLOW BUD,CIRCLEVILLE,OH
YKM,YAKIMA,YAKIMA,WA
ZUN,ZUNI,ZUNI,NM
